1,La Liga,Spain,1929
2,Bundesliga,Germany,1963
3,Ekstraklasa,Poland,1992
4,Prva hrvatska nogometna liga,Croatia,1992
5,Jupiler League,Belgium,1895
6,Premjer-Liga,Russia,1992
7,Persha Liha,Ukraine,1992
8,Synot liga,Czech Republic,1993
9,Nemzeti Bajnokság,Hungary,1901
10,Premier League,England,1992
11,A Profesionalna Futbolna Grupa,Bulgaria,1924
12,Österreichische Fußball-Bundesliga,Austria,1974
13,Swiss Super League,Switzerland,1898
14,Superleague Greece,Greece,1927
15,Allsvenskan,Sweden,1924
16,Tippeligan,Norway,1937
17,Super League,Greece,1927
18,Superligaen,Denmark,1991
19,Veikkausliiga,Finland,1990
20,Primera División de Argentina,Argentina,1891
21,Campeonato Brasileiro Série A,Brazil,1959
22,Liga MX,Mexico,1943
23,Major League Soccer,USA,1993
24,Serie A,italia,1929 
